symbol,current_price,RVol
ARG-USDT,0.8388,0.8816398802389656
TRB-USDT,30.88,0.8750985877164719
BIGTIME-USDT,0.04704,0.8702182076993757
PERP-USDT,0.2732,0.8605909282886979
LAT-USDT,0.003009,0.860441921088774
SONIC-USDT,0.17779,0.8545134873149463
ILV-USDT,12.631,0.8495269593214371
BERA-USDT,2.54,0.8284574314749422
CVX-USDT,3.046,0.8194325999174104
AUCTION-USDT,8.436,0.8171903646308438
QTUM-USDT,2.123,0.8103813657705595
STX-USDT,0.5742,0.8100155470463863
G-USDT,0.00985,0.8034540373957628
CITY-USDT,0.9157,0.8009457585546359
OKSOL-USDT,199.0,0.7986156004451591
ETHFI-USDT,1.489,0.7976464691533001
BABYDOGE-USDT,1.165e-09,0.7891838443602623
ZK-USDT,0.04893,0.7835123334013678
MAJOR-USDT,0.121,0.770514967149833
GLM-USDT,0.2164,0.765969691118568
PYUSD-USDT,0.9989,0.7630561697928444
CORE-USDT,0.3796,0.7527596662011784
NEIRO-USDT,0.0002732,0.7463443323799569
YGG-USDT,0.1494,0.7438810206283689
GRT-USDT,0.08095,0.7365861299211118
STORJ-USDT,0.2274,0.7321486768772305
DOGS-USDT,0.0001204,0.7319637049758968
GALA-USDT,0.01453,0.730861357241599
OL-USDT,0.03374,0.7293644365181461
AIXBT-USDT,0.09158,0.7289066578065599
TNSR-USDT,0.0956,0.7263734147902293
OP-USDT,0.6573,0.7215576931140322
IOST-USDT,0.003017,0.7192419617394568
MOVE-USDT,0.11027,0.7188115936809595
BTC-USDT,109255.4,0.7147268423547962
WIF-USDT,0.7486,0.7101892424038388
CXT-USDT,0.02132,0.7082602608952417
IP-USDT,8.57,0.6998388855722619
POL-USDT,0.2208,0.6981642512034075
UMA-USDT,1.191,0.6974324187347978
LDO-USDT,1.072,0.6972931966157019
CFG-USDT,0.2624,0.6926366414354513
PI-USDT,0.267,0.6917626114461364
ONT-USDT,0.1201,0.691724012430457
ANIME-USDT,0.01414,0.6891661032688703
PARTI-USDT,0.1371,0.6834161229233384
FLR-USDT,0.02472,0.6780624595115605
RAY-USDT,2.5609,0.67276498739842
TON-USDT,2.732,0.6725281523095694
INJ-USDT,11.718,0.6684602330790103
FLOW-USDT,0.3478,0.6596066179260844
ICP-USDT,4.161,0.6561913554160494
NAVX-USDT,0.0403,0.6557822248806705
SOL-USDT,196.66,0.6528673850850101
NEO-USDT,5.659,0.650353850998301
RACA-USDT,5.26e-05,0.6463273292758915
BLUR-USDT,0.07181,0.6430116998076444
HBAR-USDT,0.21089,0.6423437821551121
ID-USDT,0.1443,0.6385498312945657
